NumNodes,NumEdges,Time(ms),MaxFlow
10,20,0.015708,4.919490
10,40,0.038500,7.309019
10,80,0.056875,68.818024
10,160,0.054459,78.910927
100,200,0.205209,9.764766
100,400,0.163708,4.351614
100,800,0.265792,55.866978
100,1600,0.630417,154.350235
1000,2000,0.018500,0.000000
1000,4000,4.038750,36.613052
1000,8000,4.247541,72.797867
1000,16000,2.989041,140.965042
10000,20000,9.953292,15.526237
10000,40000,12.462500,23.680140
10000,80000,22.172125,94.228363
10000,160000,32.496458,169.091187
100000,200000,63.481916,8.567531
100000,400000,259.383417,9.217638
100000,800000,280.965875,52.464561
100000,1600000,363.581583,167.122177
1000000,2000000,300.017584,0.000000
1000000,4000000,5894.367667,34.950157
1000000,8000000,3537.747041,111.809425
1000000,16000000,6442.654917,139.641068
