NumNodes,NumEdges,K,MinSize,Time(ms),NumComponents
10,20,1.500000,3,0.030041,2
10,40,1.500000,3,0.033833,1
10,80,1.500000,3,0.042333,1
10,160,1.500000,3,0.064542,1
100,200,1.500000,3,0.228208,15
100,400,1.500000,3,0.324708,16
100,800,1.500000,3,0.720917,12
100,1600,1.500000,3,0.926083,3
1000,2000,1.500000,3,1.833125,145
1000,4000,1.500000,3,2.496250,108
1000,8000,1.500000,3,3.849750,85
1000,16000,1.500000,3,5.713375,41
10000,20000,1.500000,3,8.107041,1480
10000,40000,1.500000,3,11.314625,1179
10000,80000,1.500000,3,21.020916,803
10000,160000,1.500000,3,39.387292,412
100000,200000,1.500000,3,76.650416,14448
100000,400000,1.500000,3,126.916250,11860
100000,800000,1.500000,3,230.096959,8156
100000,1600000,1.500000,3,461.731084,4226
1000000,2000000,1.500000,3,1239.462708,144924
1000000,4000000,1.500000,3,1833.806708,117254
1000000,8000000,1.500000,3,3093.694917,81820
1000000,16000000,1.500000,3,5347.111708,42610
